hour,Nantou_County ,Chiayi_City ,Chiayi_County ,Keelung_City,Yilan_County,Pingtung_County,Changhua_County,New_Taipei_City,Hsinchu_City,Hsinchu_County,Taoyuan_City,Penghu_County,Taichung_City,Taipei_City,Tainan_City,Taitung_County,Hualien_County,Miaoli_County,Lienchiang_County,Kinmen_County,Yunlin_County,Kaohsiung_City
0,184,95,197,160,235,442,470,1748,299,237,1464,27,1378,1062,1177,97,126,169,0,23,293,1433
1,119,62,102,104,140,287,243,938,162,175,854,20,721,645,641,52,80,83,0,11,179,824
2,64,54,88,71,96,222,191,665,114,94,581,17,480,411,413,44,62,55,1,11,113,555
3,89,31,65,47,85,173,178,504,88,86,472,16,387,320,391,48,51,68,1,5,113,482
4,96,35,82,63,117,210,200,497,108,90,556,8,421,322,441,63,63,69,1,13,124,545
5,181,68,237,130,256,459,522,960,176,218,1153,23,853,534,852,117,136,184,2,10,287,1014
6,494,147,560,312,500,1082,1417,2364,507,825,3299,59,2433,1218,2405,227,308,501,3,31,820,2807
7,1732,673,1990,784,2092,3622,6022,8165,1967,2966,11537,176,11239,3592,10509,731,1205,1905,8,162,2654,10651
8,1510,482,1485,833,1768,2994,4101,9351,2508,3054,10008,160,10134,6097,8798,704,1114,1434,6,143,1992,9696
9,1456,522,1361,687,1591,3102,3649,6866,1783,1915,6846,128,7440,4941,6686,683,1071,1122,7,141,1919,7776
10,1530,523,1435,675,1567,3092,3516,6307,1553,1552,6405,188,6959,4178,6853,743,1060,1104,6,150,1872,7557
11,1596,583,1446,707,1669,3381,3777,6190,1657,1727,6687,179,7595,4044,7372,821,1163,1266,3,155,1928,8032
12,1451,544,1347,681,1511,2972,3490,6507,1570,1614,6800,192,7621,4046,7213,786,1179,1109,3,191,1726,7730
13,1155,517,1154,607,1288,2340,2585,5655,1319,1307,5747,147,6071,3691,5549,631,1039,835,9,160,1452,6199
14,1202,492,1184,559,1320,2504,2933,5706,1234,1442,5936,153,6409,3804,5848,675,940,852,6,120,1534,6555
15,1273,514,1334,676,1444,2860,3242,5922,1397,1581,6303,152,7043,3744,6547,739,994,1025,5,137,1822,7248
16,1471,574,1543,680,1648,3385,3836,6529,1587,1921,7487,193,8095,4001,7683,784,1077,1343,11,182,2123,8662
17,1956,799,1979,963,2122,4307,5755,8589,2132,2786,10687,242,12115,4847,10941,977,1525,1867,19,275,2811,11023
18,1325,607,1386,809,1546,3210,3769,7951,2024,2354,8783,213,9349,4875,8056,730,1102,1272,6,210,2049,8823
19,943,468,917,592,1082,2293,2724,5935,1520,1721,6352,124,6471,3711,5842,494,758,949,1,155,1469,6495
20,681,390,653,522,829,1792,2100,4783,1159,1262,5311,91,5208,2670,4461,360,572,739,4,107,1020,4947
21,612,386,534,507,720,1526,1804,4742,1067,1058,4580,107,4749,2926,4021,299,492,624,1,67,911,4382
22,418,246,444,443,475,1093,1214,4372,769,748,3681,73,3685,2815,2959,240,349,416,5,56,714,3745
23,272,178,287,266,338,748,736,2922,425,449,2383,35,2248,1790,1835,178,242,249,0,24,449,2356
