month,Nantou_County ,Chiayi_City ,Chiayi_County ,Keelung_City,Yilan_County,Pingtung_County,Changhua_County,New_Taipei_City,Hsinchu_City,Hsinchu_County,Taoyuan_City,Penghu_County,Taichung_City,Taipei_City,Tainan_City,Taitung_County,Hualien_County,Miaoli_County,Lienchiang_County,Kinmen_County,Yunlin_County,Kaohsiung_City
1,1960,721,1958,936,2142,4293,5086,9726,2409,2672,10778,215,12565,6041,10423,970,1426,1796,6,228,2571,12434
2,1649,686,1602,840,1759,3857,3827,8029,1956,2341,8703,157,9951,4702,8651,852,1147,1543,1,145,2231,9816
3,1632,684,1712,966,1973,4051,4058,9475,2117,2433,10054,196,11407,5689,9744,852,1351,1660,8,189,2361,10106
4,1694,656,1737,925,1891,3892,4227,8444,1993,2304,9727,178,10389,5375,9292,840,1250,1552,9,182,2438,9641
5,1637,800,1820,1018,1939,4026,4641,9323,2185,2535,10001,265,11249,5653,9795,831,1353,1638,13,229,2562,10640
6,1881,751,1810,1002,1975,4183,5287,9780,2178,2561,9869,261,10025,5516,9690,899,1451,1604,5,217,2567,10753
7,1851,773,1814,1037,2280,4047,5290,9394,2277,2594,10607,320,9686,5900,9805,1084,1617,1601,10,188,2557,10584
8,1815,771,1625,1013,2190,3714,4844,9262,2228,2503,10206,273,9603,5739,9171,1020,1511,1546,18,203,2523,9910
9,1725,774,1789,1000,1889,3686,4887,9097,2217,2506,10126,224,9221,5859,9314,941,1335,1490,10,204,2456,9700
10,2007,776,1919,971,2073,3918,5214,9638,2482,2886,10698,209,10036,6247,10008,994,1389,1452,10,239,2522,11079
11,1956,769,1945,1054,2115,3966,5459,10514,2527,2848,11353,228,12216,6634,10170,972,1358,1675,8,282,2729,11438
12,2003,829,2079,1116,2213,4463,5654,11486,2556,2999,11790,197,12756,6929,11430,968,1520,1683,10,233,2857,13436
